ID,Clues,SolutionGrid
Pt1_5x2_level5-0,"There are 2 different favourite beverages: lemonade, water
The people have 2 different hobbies: hiking, skydiving
The people have 2 different jobs:  analyst, software-developer
2 different pets are kept: dog, hedgehog
The people prefer 2 different types of sport: rugby, skateboarding
1. the software-developer is on the left or right of the person drinking lemonade##3
2. the software-developer is on the right of the person who's hobby is skydiving##1
3. the owner of the dog is somewhere to the right of the person who's sport is skateboarding","{'Beverage': ['lemonade', 'water'], 'Hobby': ['skydiving', 'hiking'], 'Job': ['analyst', 'software-developer'], 'Pet': ['hedgehog', 'dog'], 'Sport': ['skateboarding', 'rugby']}"
Pt1_5x2_level5-1,"There are 2 different favourite beverages: lemonade, water
There 2 different types of food: apricot, potato
The people have 2 different jobs:  fisherman, scientist
2 different pets are kept: hedgehog, turtle
The people prefer 2 different types of sport: cycling, skateboarding
1. the person who's sport is cycling is in an odd position##4
2. the person drinking lemonade is somewhere to the right of the owner of the hedgehog
3. the fisherman is on the right of the scientist##1
4. the person eating potato is somewhere to the left of the person drinking lemonade","{'Beverage': ['water', 'lemonade'], 'Food': ['potato', 'apricot'], 'Job': ['scientist', 'fisherman'], 'Pet': ['hedgehog', 'turtle'], 'Sport': ['cycling', 'skateboarding']}"
Pt1_5x2_level5-2,"There are 2 different favourite beverages: 7up, sprite
The people perfer 2 different movie-genres: mystery, scientific
There are 2 different nationalities: chinese, russian
The people prefer 2 different types of sport: rugby, skiing
The people use 2 different means of transport: quad-bike, train
1. the person drinking sprite is on the left of the chinese##1
2. the person driving the quad-bike is somewhere to the right of the person who's sport is skiing
3. the person driving the quad-bike is the person watching mystery movies##1","{'Beverage': ['sprite', '7up'], 'Movie-Genre': ['scientific', 'mystery'], 'Nationality': ['russian', 'chinese'], 'Sport': ['skiing', 'rugby'], 'Transport': ['train', 'quad-bike']}"
Pt1_5x2_level5-3,"There are 2 different favourite beverages: cola, lemonade
The people have 2 different hobbies: filmmaking, reading
The people prefer 2 different music-genres: folk, house
There are 2 different nationalities: american, thai
The people use 2 different means of transport: bus, subway
1. the person who's hobby is filmmaking is on the left of the person who's hobby is reading##1
2. the thai is somewhere to the right of the fan of house
3. the person driving the subway is somewhere to the left of the person drinking lemonade","{'Beverage': ['cola', 'lemonade'], 'Hobby': ['filmmaking', 'reading'], 'Music-Genre': ['house', 'folk'], 'Nationality': ['american', 'thai'], 'Transport': ['subway', 'bus']}"
Pt1_5x2_level5-4,"There are 2 different favourite beverages: cola, fanta
The people have 2 different jobs:  freelancer, librarian
There are 2 different nationalities: japanese, spanish
The people prefer 2 different types of sport: handball, ice-hockey
The people use 2 different means of transport: skateboard, tram
1. the librarian is somewhere to the left of the person driving the skateboard
2. the spanish is somewhere to the left of the person who's sport is ice-hockey
3. the person drinking cola is on the left of the person drinking fanta##1","{'Beverage': ['cola', 'fanta'], 'Job': ['librarian', 'freelancer'], 'Nationality': ['spanish', 'japanese'], 'Sport': ['handball', 'ice-hockey'], 'Transport': ['tram', 'skateboard']}"
Pt1_5x2_level5-5,"There are 2 different favourite beverages: fanta, iced-tea
The people have 2 different hobbies: board-games, reading
The people have 2 different jobs:  mechanic, police-officer
The people perfer 2 different movie-genres: superhero, time-travel
2 different pets are kept: cat, pony
1. the person who's hobby is board-games is somewhere to the right of the person who's hobby is reading
2. the mechanic is on the left of the person drinking iced-tea##1
3. the police-officer is on the left or right of the owner of the pony##3
4. the person drinking fanta is the person watching time-travel movies##1","{'Beverage': ['fanta', 'iced-tea'], 'Hobby': ['reading', 'board-games'], 'Job': ['mechanic', 'police-officer'], 'Movie-Genre': ['time-travel', 'superhero'], 'Pet': ['pony', 'cat']}"
Pt1_5x2_level5-6,"There 2 different types of food: carrot, cherry
The people have 2 different hobbies: cooking, drawing
The people have 2 different jobs:  firefighter, security-guard
The people prefer 2 different types of sport: biathlon, golf
The people use 2 different means of transport: quad-bike, skateboard
1. the person eating carrot is somewhere to the right of the person eating cherry
2. the person driving the skateboard is somewhere to the left of the security-guard
3. the person who's hobby is cooking is on the right of the person who's sport is biathlon##1","{'Food': ['cherry', 'carrot'], 'Hobby': ['drawing', 'cooking'], 'Job': ['firefighter', 'security-guard'], 'Sport': ['biathlon', 'golf'], 'Transport': ['skateboard', 'quad-bike']}"
Pt1_5x2_level5-7,"The people have 2 different jobs:  designer, police-officer
The people prefer 2 different music-genres: funk, soul
There are 2 different nationalities: german, indian
The people prefer 2 different types of sport: snowboarding, tennis
The people use 2 different means of transport: boat, train
1. the person driving the train is somewhere to the right of the person who's sport is tennis
2. the designer is the person driving the boat##1
3. the indian is somewhere to the right of the fan of funk","{'Job': ['designer', 'police-officer'], 'Music-Genre': ['funk', 'soul'], 'Nationality': ['german', 'indian'], 'Sport': ['tennis', 'snowboarding'], 'Transport': ['boat', 'train']}"
Pt1_5x2_level5-8,"There 2 different types of food: eggplant, pepper
The people have 2 different jobs:  firefighter, software-developer
The people perfer 2 different movie-genres: mystery, spy
The people prefer 2 different music-genres: country, house
There are 2 different nationalities: egyptian, polish
1. the egyptian is somewhere to the left of the software-developer
2. the person watching spy movies is on the left of the person eating pepper##1
3. the egyptian is the fan of house##1","{'Food': ['eggplant', 'pepper'], 'Job': ['firefighter', 'software-developer'], 'Movie-Genre': ['spy', 'mystery'], 'Music-Genre': ['house', 'country'], 'Nationality': ['egyptian', 'polish']}"
Pt1_5x2_level5-9,"There are 2 different favourite beverages: milk, tea
There 2 different types of food: peas, potato
The people perfer 2 different movie-genres: family, zombie
2 different pets are kept: guinea-pig, hamster
The people use 2 different means of transport: motorbike, trike
1. the person drinking tea is somewhere to the left of the person driving the motorbike
2. the person eating peas is on the left or right of the owner of the hamster##3
3. the person watching zombie movies is somewhere to the left of the person eating potato","{'Beverage': ['tea', 'milk'], 'Food': ['peas', 'potato'], 'Movie-Genre': ['zombie', 'family'], 'Pet': ['guinea-pig', 'hamster'], 'Transport': ['trike', 'motorbike']}"
