ID,Clues,SolutionGrid
Pt1_2x3_level7-0,"The people perfer 3 different movie-genres: drama, mystery, western
3 different pets are kept: bird, ferret, rat
1. the owner of the rat is somewhere between the person watching drama movies and the owner of the ferret
2. the owner of the bird is somewhere to the right of the owner of the ferret##5
3. the person watching mystery movies is somewhere to the right of the owner of the ferret##5","{'Movie-Genre': ['western', 'mystery', 'drama'], 'Pet': ['ferret', 'rat', 'bird']}"
Pt1_2x3_level7-1,"The people prefer 3 different music-genres: country, electronic, reggae
The people use 3 different means of transport: subway, tram, van
1. the person driving the subway is in an odd position##4
2. the fan of country is somewhere between the fan of reggae and the person driving the tram
3. the person driving the subway is on the far right##1","{'Music-Genre': ['electronic', 'country', 'reggae'], 'Transport': ['tram', 'van', 'subway']}"
Pt1_2x3_level7-2,"There are 3 different favourite beverages: coffee, mirinda, water
The people use 3 different means of transport: roller, subway, train
1. the person driving the subway is somewhere between the person drinking coffee and the person driving the roller
2. the person driving the train is on the left of the person drinking mirinda##1","{'Beverage': ['coffee', 'mirinda', 'water'], 'Transport': ['train', 'subway', 'roller']}"
Pt1_2x3_level7-3,"The people have 3 different jobs:  project-manager, scientist, teacher
The people perfer 3 different movie-genres: action, comedy, time-travel
1. the project-manager is somewhere between the person watching time-travel movies and the scientist
2. the person watching comedy movies is not the project-manager##6
3. the person watching time-travel movies is somewhere to the right of the person watching comedy movies##5","{'Job': ['scientist', 'project-manager', 'teacher'], 'Movie-Genre': ['comedy', 'action', 'time-travel']}"
Pt1_2x3_level7-4,"The people prefer 3 different music-genres: disco, hip-hop, salsa
The people use 3 different means of transport: motorbike, quad-bike, skateboard
1. the person driving the quad-bike is somewhere between the person driving the skateboard and the fan of hip-hop
2. the person driving the motorbike is on the right of the fan of salsa##1
3. the fan of hip-hop is on the left or right of the person driving the quad-bike##3","{'Music-Genre': ['disco', 'salsa', 'hip-hop'], 'Transport': ['skateboard', 'quad-bike', 'motorbike']}"
Pt1_2x3_level7-5,"The people prefer 3 different music-genres: blues, jazz, reggae
There are 3 different nationalities: colombian, japanese, pakistani
1. the colombian is on the left or right of the japanese##3
2. the japanese is somewhere to the left of the colombian##5
3. the fan of jazz is on the right of the pakistani##1
4. the fan of jazz is somewhere between the pakistani and the fan of blues","{'Music-Genre': ['reggae', 'jazz', 'blues'], 'Nationality': ['pakistani', 'japanese', 'colombian']}"
Pt1_2x3_level7-6,"3 different pets are kept: goat, goldfish, rat
The people prefer 3 different types of sport: badminton, basketball, skateboarding
1. the person who's sport is skateboarding is on the right of the person who's sport is badminton##1
2. the person who's sport is skateboarding is somewhere between the owner of the goat and the person who's sport is badminton
3. the owner of the goldfish is on the right of the owner of the rat##1","{'Pet': ['rat', 'goldfish', 'goat'], 'Sport': ['badminton', 'skateboarding', 'basketball']}"
Pt1_2x3_level7-7,"The people have 3 different jobs:  doctor, electrician, entrepreneur
The people perfer 3 different movie-genres: mystery, sports, western
1. the person watching western movies is on the left or right of the doctor##3
2. the person watching mystery movies is somewhere between the person watching western movies and the electrician
3. the person watching sports movies is on the right of the doctor##1","{'Job': ['entrepreneur', 'doctor', 'electrician'], 'Movie-Genre': ['western', 'mystery', 'sports']}"
Pt1_2x3_level7-8,"The people have 3 different hobbies: chess, filmmaking, writing
The people have 3 different jobs:  doctor, manager, teacher
1. the teacher is not the person who's hobby is writing##6
2. the manager is on the right of the person who's hobby is writing##1
3. the doctor is somewhere between the manager and the person who's hobby is filmmaking","{'Hobby': ['filmmaking', 'writing', 'chess'], 'Job': ['teacher', 'doctor', 'manager']}"
Pt1_2x3_level7-9,"There are 3 different favourite beverages: coffee, milk, sprite
The people prefer 3 different types of sport: badminton, skiing, tennis
1. the person drinking coffee is on the right of the person drinking sprite##1
2. the person who's sport is tennis is the person drinking milk##1
3. the person drinking sprite is somewhere between the person drinking milk and the person who's sport is skiing","{'Beverage': ['milk', 'sprite', 'coffee'], 'Sport': ['tennis', 'badminton', 'skiing']}"
