ID,Clues,SolutionGrid
Pt1_2x7_level2-0,"There are 7 different nationalities: australian, french, indonesian, italian, japanese, thai, turkish
The people prefer 7 different types of sport: badminton, baseball, biathlon, cycling, parkour, skiing, volleyball
 1. the australian is between the italian and the turkish
 2. the french is in the middle##1
 3. the person who's sport is parkour is on the right of the person who's sport is volleyball##1
 4. the japanese is between the person who's sport is biathlon and the person who's sport is parkour
 5. the person who's sport is baseball is on the right of the person who's sport is skiing##1
 6. the person who's sport is baseball is on the right of the italian##1
 7. the person who's sport is badminton is between the person who's sport is cycling and the person who's sport is biathlon
 8. the person who's sport is baseball is on the left of the turkish##1
 9. the japanese is on the left of the thai##1
10. the japanese is on the right of the person who's sport is biathlon##1
11. the thai is on the far right##1","{'Nationality': ['italian', 'australian', 'turkish', 'french', 'indonesian', 'japanese', 'thai'], 'Sport': ['skiing', 'baseball', 'cycling', 'badminton', 'biathlon', 'volleyball', 'parkour']}"
Pt1_2x7_level2-1,"There 7 different types of food: apple, cauliflower, grapefruit, grapes, lettuce, pomegranate, pumpkin
There are 7 different nationalities: australian, chinese, italian, pakistani, polish, russian, turkish
1. the russian is on the far left##1
2. the person eating grapefruit is between the person eating pomegranate and the russian
3. the chinese is on the right of the australian##1
4. the person eating pumpkin is on the right of the italian##1
5. the person eating cauliflower is in the middle##1
6. the polish is on the left of the australian##1
7. the turkish is on the left of the person eating cauliflower##1
8. the person eating lettuce is on the left of the pakistani##1
9. the person eating grapes is on the right of the australian##1","{'Food': ['lettuce', 'grapefruit', 'pomegranate', 'cauliflower', 'pumpkin', 'apple', 'grapes'], 'Nationality': ['russian', 'pakistani', 'turkish', 'italian', 'polish', 'australian', 'chinese']}"
Pt1_2x7_level2-2,"There are 7 different nationalities: canadian, dutch, german, indian, mexican, pakistani, polish
7 different pets are kept: fish, goat, hamster, pony, rabbit, rat, turtle
 1. the mexican is on the left of the canadian##1
 2. the owner of the hamster is on the left of the owner of the pony##1
 3. the owner of the rabbit is the polish##1
 4. the german is on the left of the pakistani##1
 5. the owner of the fish is on the left of the owner of the turtle##1
 6. the indian is the owner of the pony##1
 7. the canadian is on the left of the owner of the hamster##1
 8. the owner of the fish is between the owner of the turtle and the indian
 9. the canadian is on the right of the owner of the rat##1
10. the dutch is in the middle##1","{'Nationality': ['polish', 'mexican', 'canadian', 'dutch', 'indian', 'german', 'pakistani'], 'Pet': ['rabbit', 'rat', 'goat', 'hamster', 'pony', 'fish', 'turtle']}"
Pt1_2x7_level2-3,"There are 7 different favourite beverages: fanta, iced-tea, juice, lemonade, sprite, tea, water
There are 7 different nationalities: australian, chinese, malaysian, mexican, nigerian, pakistani, polish
 1. the person drinking water is on the left of the malaysian##1
 2. the person drinking sprite is on the right of the nigerian##1
 3. the pakistani is on the right of the mexican##1
 4. the person drinking sprite is on the right of the nigerian##1
 5. the australian is on the right of the person drinking fanta##1
 6. the mexican is between the person drinking juice and the pakistani
 7. the person drinking fanta is in the middle##1
 8. the mexican is on the left of the person drinking lemonade##1
 9. the person drinking iced-tea is the chinese##1
10. the australian is the person drinking water##1","{'Beverage': ['juice', 'sprite', 'lemonade', 'fanta', 'water', 'tea', 'iced-tea'], 'Nationality': ['nigerian', 'mexican', 'pakistani', 'polish', 'australian', 'malaysian', 'chinese']}"
Pt1_2x7_level2-4,"The people prefer 7 different music-genres: classical, disco, folk, house, metal, punk, rock
The people use 7 different means of transport: bike, helicopter, motorbike, ship, skateboard, train, van
1. the person driving the ship is on the right of the person driving the skateboard##1
2. the person driving the skateboard is the fan of disco##1
3. the person driving the bike is between the fan of rock and the fan of classical
4. the fan of punk is on the right of the person driving the skateboard##1
5. the person driving the bike is in the middle##1
6. the person driving the train is on the left of the fan of classical##1
7. the person driving the motorbike is on the left of the person driving the skateboard##1
8. the person driving the helicopter is the fan of house##1
9. the fan of metal is the person driving the train##1","{'Music-Genre': ['house', 'metal', 'classical', 'folk', 'rock', 'disco', 'punk'], 'Transport': ['helicopter', 'train', 'van', 'bike', 'motorbike', 'skateboard', 'ship']}"
Pt1_2x7_level2-5,"The people have 7 different jobs:  firefighter, paramedic, pilot, project-manager, scientist, videographer, writer
The people prefer 7 different types of sport: badminton, climbing, cycling, lacrosse, parkour, rowing, snowboarding
1. the pilot is on the left of the writer##1
2. the person who's sport is cycling is the scientist##1
3. the person who's sport is badminton is on the left of the person who's sport is rowing##1
4. the paramedic is on the left of the person who's sport is badminton##1
5. the videographer is on the right of the person who's sport is snowboarding##1
6. the person who's sport is snowboarding is between the person who's sport is parkour and the firefighter
7. the person who's sport is parkour is on the left of the person who's sport is climbing##1
8. the videographer is in the middle##1","{'Job': ['scientist', 'firefighter', 'project-manager', 'videographer', 'paramedic', 'pilot', 'writer'], 'Sport': ['cycling', 'lacrosse', 'snowboarding', 'parkour', 'climbing', 'badminton', 'rowing']}"
Pt1_2x7_level2-6,"There are 7 different favourite beverages: coffee, cola, fanta, hot-chocolate, iced-tea, lemonade, milk
The people prefer 7 different types of sport: cricket, cycling, parkour, rowing, rugby, surfing, volleyball
 1. the person who's sport is surfing is the person drinking iced-tea##1
 2. the person drinking cola is on the left of the person who's sport is volleyball##1
 3. the person who's sport is cycling is in the middle##1
 4. the person drinking fanta is between the person who's sport is rugby and the person who's sport is volleyball
 5. the person who's sport is cricket is on the left of the person drinking hot-chocolate##1
 6. the person drinking coffee is on the left of the person who's sport is cricket##1
 7. the person who's sport is rowing is the person drinking coffee##1
 8. the person drinking lemonade is the person who's sport is rugby##1
 9. the person who's sport is parkour is between the person who's sport is rugby and the person drinking iced-tea
10. the person drinking fanta is on the left of the person drinking lemonade##1","{'Beverage': ['coffee', 'cola', 'hot-chocolate', 'fanta', 'lemonade', 'milk', 'iced-tea'], 'Sport': ['rowing', 'cricket', 'volleyball', 'cycling', 'rugby', 'parkour', 'surfing']}"
Pt1_2x7_level2-7,"There are 7 different favourite beverages: cola, fanta, hot-chocolate, juice, lemonade, mirinda, water
The people have 7 different jobs:  accountant, dressmaker, fisherman, librarian, photographer, police-officer, software-developer
 1. the photographer is on the left of the librarian##1
 2. the accountant is on the left of the fisherman##1
 3. the police-officer is on the far left##1
 4. the person drinking fanta is on the left of the person drinking water##1
 5. the photographer is on the left of the person drinking fanta##1
 6. the person drinking mirinda is between the person drinking juice and the person drinking water
 7. the dressmaker is on the right of the police-officer##1
 8. the accountant is on the right of the person drinking water##1
 9. the person drinking fanta is on the right of the person drinking cola##1
10. the person drinking fanta is between the person drinking water and the person drinking cola
11. the photographer is on the right of the person drinking lemonade##1","{'Beverage': ['hot-chocolate', 'lemonade', 'cola', 'fanta', 'water', 'mirinda', 'juice'], 'Job': ['police-officer', 'dressmaker', 'photographer', 'librarian', 'software-developer', 'accountant', 'fisherman']}"
Pt1_2x7_level2-8,"The people perfer 7 different movie-genres: action, adventure, disaster, horror, romance, satire, thriller
The people use 7 different means of transport: bus, motorbike, quad-bike, skateboard, taxi, tram, trike
1. the person watching action movies is the person driving the tram##1
2. the person driving the motorbike is on the left of the person watching action movies##1
3. the person watching romance movies is between the person driving the trike and the person driving the taxi
4. the person watching adventure movies is on the left of the person watching horror movies##1
5. the person driving the bus is in the middle##1
6. the person watching romance movies is on the left of the person watching disaster movies##1
7. the person driving the skateboard is on the left of the person driving the taxi##1
8. the person watching romance movies is on the right of the person watching satire movies##1
9. the person driving the trike is on the right of the person watching romance movies##1","{'Movie-Genre': ['adventure', 'horror', 'satire', 'romance', 'disaster', 'thriller', 'action'], 'Transport': ['quad-bike', 'skateboard', 'taxi', 'bus', 'trike', 'motorbike', 'tram']}"
Pt1_2x7_level2-9,"There are 7 different favourite beverages: 7up, coffee, cola, fanta, milk, mirinda, tea
The people have 7 different hobbies: board-games, cooking, gardening, hiking, magic-tricks, photography, singing
1. the person who's hobby is photography is the person drinking cola##1
2. the person drinking 7up is on the right of the person drinking coffee##1
3. the person who's hobby is gardening is on the right of the person drinking coffee##1
4. the person who's hobby is photography is between the person who's hobby is hiking and the person who's hobby is cooking
5. the person who's hobby is singing is on the left of the person who's hobby is gardening##1
6. the person who's hobby is hiking is on the far right##1
7. the person drinking tea is on the right of the person drinking 7up##1
8. the person drinking fanta is between the person drinking milk and the person who's hobby is photography
9. the person who's hobby is magic-tricks is on the right of the person who's hobby is board-games##1","{'Beverage': ['coffee', '7up', 'tea', 'milk', 'fanta', 'cola', 'mirinda'], 'Hobby': ['singing', 'gardening', 'board-games', 'magic-tricks', 'cooking', 'photography', 'hiking']}"
