ID,Clues,SolutionGrid
Pt1_2x4_level4-0,"There are 4 different favourite beverages: 7up, coffee, lemonade, water
4 different pets are kept: dog, goat, horse, mouse
1. the owner of the mouse is on the left of the person drinking lemonade##1
2. the person drinking 7up is on the left of the owner of the goat##1
3. the person drinking water is in an odd position
4. the owner of the horse is on the left or right of the owner of the mouse##3
5. the person drinking 7up is on the far left or far right##3","{'Beverage': ['7up', 'coffee', 'water', 'lemonade'], 'Pet': ['dog', 'goat', 'mouse', 'horse']}"
Pt1_2x4_level4-1,"The people perfer 4 different movie-genres: crime, musical, scientific, superhero
There are 4 different nationalities: french, german, nigerian, russian
1. the person watching musical movies is on the left of the person watching superhero movies##1
2. the french is on the left of the nigerian##1
3. the nigerian is in an odd position
4. the french is the person watching crime movies##1
5. the german is on the right of the nigerian##1
6. the french is the person watching crime movies##1","{'Movie-Genre': ['scientific', 'crime', 'musical', 'superhero'], 'Nationality': ['russian', 'french', 'nigerian', 'german']}"
Pt1_2x4_level4-2,"There 4 different types of food: carrot, grapes, pomegranate, watermelon
The people perfer 4 different movie-genres: animation, documentary, spy, western
1. the person eating watermelon is on the left or right of the person watching western movies##3
2. the person eating pomegranate is in an even position
3. the person watching western movies is on the left or right of the person eating grapes##3
4. the person watching western movies is on the right of the person watching spy movies##1
5. the person watching animation movies is in an odd position
6. the person eating grapes is on the right of the person eating pomegranate##1","{'Food': ['watermelon', 'pomegranate', 'grapes', 'carrot'], 'Movie-Genre': ['spy', 'western', 'animation', 'documentary']}"
Pt1_2x4_level4-3,"The people have 4 different hobbies: cooking, drawing, reading, woodworking
The people prefer 4 different music-genres: blues, folk, indie, reggae
1. the person who's hobby is drawing is between the fan of blues and the fan of reggae##2
2. the person who's hobby is woodworking is on the left of the person who's hobby is cooking##1
3. the fan of indie is in an odd position
4. the fan of folk is on the left of the fan of reggae##1
5. the fan of folk is on the right of the person who's hobby is cooking##1","{'Hobby': ['woodworking', 'cooking', 'drawing', 'reading'], 'Music-Genre': ['indie', 'blues', 'folk', 'reggae']}"
Pt1_2x4_level4-4,"The people prefer 4 different music-genres: folk, hip-hop, jazz, punk
There are 4 different nationalities: american, australian, indian, russian
1. the fan of jazz is on the right of the russian##1
2. the australian is the fan of punk##1
3. the indian is on the right of the fan of folk##1
4. the fan of hip-hop is on the far left##1
5. the fan of jazz is in an odd position
6. the american is on the far left or far right##3","{'Music-Genre': ['hip-hop', 'folk', 'jazz', 'punk'], 'Nationality': ['american', 'russian', 'indian', 'australian']}"
Pt1_2x4_level4-5,"The people perfer 4 different movie-genres: animation, documentary, epic, time-travel
There are 4 different nationalities: indonesian, italian, japanese, malaysian
1. the italian is in an even position
2. the person watching time-travel movies is on the right of the italian##1
3. the person watching epic movies is in an odd position
4. the indonesian is on the left of the person watching animation movies##1
5. the japanese is on the left or right of the indonesian##3","{'Movie-Genre': ['epic', 'documentary', 'time-travel', 'animation'], 'Nationality': ['malaysian', 'italian', 'indonesian', 'japanese']}"
Pt1_2x4_level4-6,"The people perfer 4 different movie-genres: epic, family, mystery, western
The people use 4 different means of transport: car, quad-bike, roller, ship
1. the person driving the ship is in an odd position
2. the person driving the roller is on the left of the person driving the car##1
3. the person watching western movies is on the left of the person watching mystery movies##1
4. the person driving the ship is the person watching epic movies##1
5. the person watching western movies is on the left or right of the person driving the car##3
6. the person driving the quad-bike is on the right of the person driving the car##1","{'Movie-Genre': ['epic', 'western', 'mystery', 'family'], 'Transport': ['ship', 'roller', 'car', 'quad-bike']}"
Pt1_2x4_level4-7,"The people have 4 different jobs:  coach, pilot, project-manager, teacher
4 different pets are kept: bird, fish, goat, guinea-pig
1. the owner of the guinea-pig is on the left or right of the pilot##3
2. the teacher is in an odd position
3. the owner of the guinea-pig is on the left or right of the teacher##3
4. the teacher is on the right of the owner of the guinea-pig##1
5. the coach is between the teacher and the pilot##2
6. the owner of the fish is in an odd position
7. the owner of the fish is between the coach and the owner of the goat##2
8. the coach is on the left or right of the pilot##3","{'Job': ['pilot', 'coach', 'teacher', 'project-manager'], 'Pet': ['bird', 'guinea-pig', 'fish', 'goat']}"
Pt1_2x4_level4-8,"There 4 different types of food: cabbage, mango, pepper, watermelon
4 different pets are kept: cat, hamster, mouse, turtle
1. the person eating pepper is on the left or right of the person eating cabbage##3
2. the person eating cabbage is on the right of the person eating mango##1
3. the owner of the cat is between the owner of the hamster and the person eating pepper##2
4. the owner of the cat is in an odd position
5. the person eating pepper is the owner of the mouse##1","{'Food': ['watermelon', 'mango', 'cabbage', 'pepper'], 'Pet': ['turtle', 'hamster', 'cat', 'mouse']}"
Pt1_2x4_level4-9,"There are 4 different favourite beverages: almond-milk, cola, juice, soy-milk
The people prefer 4 different music-genres: disco, dubstep, electronic, jazz
1. the person drinking almond-milk is the fan of jazz##1
2. the fan of disco is on the right of the person drinking almond-milk##1
3. the fan of jazz is between the fan of disco and the person drinking juice##2
4. the person drinking almond-milk is in an odd position
5. the fan of jazz is on the left or right of the fan of disco##3
6. the person drinking cola is on the left or right of the fan of dubstep##3","{'Beverage': ['cola', 'juice', 'almond-milk', 'soy-milk'], 'Music-Genre': ['electronic', 'dubstep', 'jazz', 'disco']}"
