ID,Clues,SolutionGrid
Pt1_3x3_level10-0,"The people have 3 different jobs:  dressmaker, manager, police-officer
3 different pets are kept: chinchilla, fish, guinea-pig
The people prefer 3 different types of sport: golf, ice-hockey, lacrosse
1. the manager is in the middle##1
2. the owner of the guinea-pig is not the person who's sport is ice-hockey##6
3. the person who's sport is ice-hockey is somewhere between the dressmaker and the person who's sport is lacrosse##7
4. the owner of the fish is not to the left of the manager##8
5. the dressmaker is not the person who's sport is ice-hockey##6
6. the manager is the person who's sport is golf or the person who's sport is golf is the owner of the fish, but not both","{'Job': ['police-officer', 'manager', 'dressmaker'], 'Pet': ['guinea-pig', 'chinchilla', 'fish'], 'Sport': ['lacrosse', 'ice-hockey', 'golf']}"
Pt1_3x3_level10-1,"There 3 different types of food: garlic, nectarine, strawberry
There are 3 different nationalities: malaysian, nigerian, russian
The people use 3 different means of transport: airplane, motorbike, tram
1. the person driving the airplane is somewhere between the malaysian and the russian##7
2. the malaysian is the person eating garlic or the malaysian is the person driving the motorbike, but not both
3. the russian is somewhere to the left of the malaysian##5
4. the person driving the airplane is somewhere between the person eating garlic and the person eating strawberry##7
5. the nigerian is on the left of the person eating garlic##1
6. the russian and the person driving the motorbike have the same parity positions##9","{'Food': ['strawberry', 'nectarine', 'garlic'], 'Nationality': ['russian', 'nigerian', 'malaysian'], 'Transport': ['motorbike', 'airplane', 'tram']}"
Pt1_3x3_level10-2,"There are 3 different favourite beverages: fanta, juice, soy-milk
The people have 3 different jobs:  bartender, librarian, nurse
The people perfer 3 different movie-genres: animation, comedy, spy
1. the librarian is the person drinking juice or the librarian is the person watching animation movies, but not both
2. the person watching comedy movies is somewhere to the right of the person watching animation movies##5
3. the person watching spy movies is on the right of the nurse##1
4. the person drinking soy-milk is on the left of the bartender##1
5. the person watching animation movies is not the bartender##6
6. the person watching spy movies is not the librarian##6
7. the person watching animation movies and the bartender have different parity positions##9","{'Beverage': ['soy-milk', 'fanta', 'juice'], 'Job': ['nurse', 'bartender', 'librarian'], 'Movie-Genre': ['animation', 'spy', 'comedy']}"
Pt1_3x3_level10-3,"The people have 3 different jobs:  freelancer, nurse, teacher
The people prefer 3 different music-genres: ambient, r&b, salsa
There are 3 different nationalities: argentine, colombian, mexican
1. the argentine is not the fan r&b##6
2. the freelancer is on the left of the nurse##1
3. the freelancer is the argentine or the fan salsa is the freelancer, but not both
4. the argentine and the fan r&b have different parity positions##9
5. the colombian and the nurse have different parity positions##9
6. the fan r&b is somewhere to the left of the teacher##5
7. the fan salsa is the argentine or the freelancer is the fan salsa, but not both
8. the freelancer and the fan salsa have the same parity positions##9","{'Job': ['freelancer', 'nurse', 'teacher'], 'Music-Genre': ['salsa', 'r&b', 'ambient'], 'Nationality': ['colombian', 'mexican', 'argentine']}"
Pt1_3x3_level10-4,"The people have 3 different hobbies: filmmaking, woodworking, writing
There are 3 different nationalities: canadian, nigerian, thai
The people use 3 different means of transport: airplane, tram, trike
1. the canadian is in an odd position##4
2. the person who's hobby is writing is the canadian or the canadian is the person driving the tram, but not both
3. the person who's hobby is filmmaking is on the right of the nigerian##1
4. the person who's hobby is writing is in an even position##4
5. the person driving the trike is on the right of the person who's hobby is writing##1","{'Hobby': ['woodworking', 'writing', 'filmmaking'], 'Nationality': ['canadian', 'nigerian', 'thai'], 'Transport': ['tram', 'airplane', 'trike']}"
Pt1_3x3_level10-5,"There are 3 different favourite beverages: fanta, juice, tea
There 3 different types of food: grapes, pomegranate, zucchini
The people prefer 3 different types of sport: golf, ice-hockey, rowing
1. the person eating zucchini is on the left of the person drinking fanta##1
2. the person eating zucchini is on the left or right of the person eating pomegranate##3
3. the person who's sport is ice-hockey is somewhere to the right of the person eating pomegranate##5
4. the person drinking juice is not to the left of the person who's sport is ice-hockey##8
5. the person eating grapes is not to the left of the person drinking fanta##8
6. the person who's sport is ice-hockey is the person eating pomegranate or the person eating pomegranate is the person drinking fanta, but not both
7. the person eating pomegranate is not to the right of the person drinking juice##8
8. the person eating grapes is on the right of the person who's sport is golf##1","{'Beverage': ['tea', 'fanta', 'juice'], 'Food': ['zucchini', 'pomegranate', 'grapes'], 'Sport': ['rowing', 'golf', 'ice-hockey']}"
Pt1_3x3_level10-6,"The people perfer 3 different movie-genres: crime, family, sports
The people prefer 3 different music-genres: d&b, funk, trance
3 different pets are kept: cat, chinchilla, pony
1. the person watching family movies is the owner of the chinchilla##1
2. the owner of the pony is on the right of the owner of the chinchilla##1
3. the fan funk is the person watching sports movies##1
4. the person watching family movies is the fan trance or the person watching family movies is the owner of the chinchilla, but not both
5. the fan funk is somewhere to the left of the person watching family movies##5
6. the fan d&b is not to the right of the owner of the pony##8","{'Movie-Genre': ['sports', 'family', 'crime'], 'Music-Genre': ['funk', 'd&b', 'trance'], 'Pet': ['cat', 'chinchilla', 'pony']}"
Pt1_3x3_level10-7,"The people have 3 different hobbies: puzzles, skydiving, writing
The people prefer 3 different music-genres: d&b, electronic, funk
The people prefer 3 different types of sport: basketball, climbing, lacrosse
1. the person who's hobby is puzzles is somewhere to the right of the person who's sport is climbing##5
2. the person who's hobby is puzzles is the person who's sport is basketball or the person who's sport is basketball is the fan d&b, but not both
3. the person who's hobby is skydiving and the fan funk have the same parity positions##9
4. the person who's sport is climbing is on the right of the person who's hobby is skydiving##1
5. the person who's sport is lacrosse is not to the right of the fan d&b##8
6. the person who's hobby is writing is between the fan funk and the fan d&b##2","{'Hobby': ['skydiving', 'writing', 'puzzles'], 'Music-Genre': ['d&b', 'electronic', 'funk'], 'Sport': ['lacrosse', 'climbing', 'basketball']}"
Pt1_3x3_level10-8,"The people perfer 3 different movie-genres: disaster, drama, epic
The people prefer 3 different music-genres: blues, house, punk
There are 3 different nationalities: canadian, italian, nigerian
1. the fan house is on the right of the person watching drama movies##1
2. the person watching disaster movies is on the left or right of the person watching drama movies##3
3. the fan punk is not to the right of the italian##8
4. the italian is somewhere to the right of the person watching drama movies##5
5. the italian is somewhere between the nigerian and the fan blues##7
6. the italian is the person watching drama movies or the italian is the fan house, but not both","{'Movie-Genre': ['drama', 'disaster', 'epic'], 'Music-Genre': ['punk', 'house', 'blues'], 'Nationality': ['nigerian', 'italian', 'canadian']}"
Pt1_3x3_level10-9,"The people have 3 different hobbies: skydiving, sudoku, video-games
The people have 3 different jobs:  designer, dressmaker, project-manager
The people perfer 3 different movie-genres: fantasy, horror, musical
1. the designer is not the person who's hobby is video-games##6
2. the project-manager is the person who's hobby is skydiving or the project-manager is the person watching musical movies, but not both
3. the person watching fantasy movies is on the left of the person who's hobby is sudoku##1
4. the person who's hobby is skydiving is on the right of the person who's hobby is sudoku##1
5. the person watching musical movies is not to the left of the designer##8","{'Hobby': ['video-games', 'sudoku', 'skydiving'], 'Job': ['dressmaker', 'designer', 'project-manager'], 'Movie-Genre': ['fantasy', 'musical', 'horror']}"
